block,street_name,Address,Postal,Latitude,Longitude,mrt_count_500m,schools_within_2km,top25_schools_within_2km,nearby_top25_schools,distance_to_cbd
475C,UPP SERANGOON CRES,475C UPPER SERANGOON CRESCENT PARKLAND RESIDENCES SINGAPORE 533475,533475,1.3752181944865,103.899995251993,0,9,0,,11476.551221691367
138D,YUAN CHING RD,138D YUAN CHING ROAD LAKE VISTA @ YUAN CHING SINGAPORE 614138,614138,1.32846031138004,103.723287795397,0,3,0,,15076.828064023992
527C,PASIR RIS ST 51,527C PASIR RIS STREET 51 COSTA RIS SINGAPORE 513527,513527,1.36937329925111,103.947970231713,1,11,0,,14316.509028454397
528C,PASIR RIS ST 51,528C PASIR RIS STREET 51 COSTA RIS SINGAPORE 513528,513528,1.37098530908868,103.948216908449,1,11,0,,14456.204818301547
261A,PUNGGOL WAY,261A PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 821261,821261,1.40596991489125,103.896803290622,2,11,1,Nan Chiau Primary School,14455.84021184746
672D,EDGEFIELD PLAINS,672D EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 824672,824672,1.40759031189113,103.910923572748,1,10,0,,15237.287792926603
667A,PUNGGOL DR,667A PUNGGOL DRIVE WATERWAY WOODCRESS SINGAPORE 821667,821667,1.40260030998864,103.913971396177,2,10,0,,14894.364183621625
259A,PUNGGOL FIELD,259A PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 821259,821259,1.40382339950391,103.895547769394,1,12,1,Nan Chiau Primary School,14183.55200093131
259C,PUNGGOL FIELD,259C PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 823259,823259,1.40453408581455,103.895665532043,1,11,1,Nan Chiau Primary School,14262.239883035649
260A,PUNGGOL WAY,260A PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 821260,821260,1.40479713792879,103.896616087907,2,12,1,Nan Chiau Primary School,14326.386077893003
336A,ANCHORVALE CRES,336A ANCHORVALE CRESCENT ANCHORVALE COVE SINGAPORE 541336,541336,1.39754408575022,103.88932509626,1,15,1,Nan Chiau Primary School,13295.557586860614
336C,ANCHORVALE CRES,336C ANCHORVALE CRESCENT ANCHORVALE COVE SINGAPORE 543336,543336,1.39774373171815,103.88858318745,1,13,1,Nan Chiau Primary School,13290.776131921659
