year,cpi
2024,100
2023,97.666
2022,93.163
2021,87.781
2020,85.794
2019,85.942
2018,85.457
2017,85.084
2016,84.596
2015,85.046
2014,85.493
2013,84.618
2012,82.664
2011,79.043
2010,75.099
2009,73.033
2008,72.606
2007,68.088
2006,66.681
2005,66.043
2004,65.732
2003,64.651
2002,64.337
2001,64.59
2000,63.942
1999,63.091
1998,63.076
1997,63.248
1996,61.994
1995,61.15
1994,60.114
1993,58.309
1992,57.003
1991,55.752
1990,53.898
